"","Group","Individual","DOB","Sex.x","TestDate","binary","AgeAtTesting","AgeClasstest","context","Task","Total","Correct","Number experiment","Time start","Time end","Stop for external facotrs","...7","interrupted","duration","duration.z","GroupSize","Groupsize.z","month","season"
"1","Boeta","Boeta",2003-12-01,"M",2019-06-07,0,15.5260273972603,"Adult","Sanctuary",NA,0,NA,1,1899-12-31 14:59:12,1899-12-31 15:59:28,"No",NA,"No",60.2666666666667,0.386557645851316,3,-1.67151958478661,6,"winter"
"2","Boeta","Fielis",2004-12-01,"M",2019-06-07,1,14.5232876712329,"Adult","Sanctuary","2",10,1,1,1899-12-31 14:59:12,1899-12-31 15:59:28,"No",NA,"No",60.2666666666667,0.386557645851316,3,-1.67151958478661,6,"winter"
"3","Boeta","Jokie",2004-11-01,"F",2019-06-07,0,14.6054794520548,"Adult","Sanctuary",NA,0,NA,1,1899-12-31 14:59:12,1899-12-31 15:59:28,"No",NA,"No",60.2666666666667,0.386557645851316,3,-1.67151958478661,6,"winter"
"4","Boeta","Boeta",2003-12-01,"M",2019-06-08,1,15.5287671232877,"Adult","Sanctuary","2",3,2,5,1899-12-31 15:49:54,1899-12-31 16:20:40,"No",NA,"No",30.7666666666667,-0.592674513566401,3,-1.67151958478661,6,"winter"
"5","Boeta","Fielis",2004-12-01,"M",2019-06-08,1,14.5260273972603,"Adult","Sanctuary","2",57,1,5,1899-12-31 15:49:54,1899-12-31 16:20:40,"No",NA,"No",30.7666666666667,-0.592674513566401,3,-1.67151958478661,6,"winter"
"6","Boeta","Jokie",2004-11-01,"F",2019-06-08,1,14.6082191780822,"Adult","Sanctuary","2",30,0,5,1899-12-31 15:49:54,1899-12-31 16:20:40,"No",NA,"No",30.7666666666667,-0.592674513566401,3,-1.67151958478661,6,"winter"
"7","Boeta","Boeta",2003-12-01,"M",2019-06-09,1,15.5315068493151,"Adult","Sanctuary","2",3,0,7,1899-12-31 15:09:22,1899-12-31 15:38:21,"No",NA,"No",28.9833333333333,-0.651871033937981,3,-1.67151958478661,6,"winter"
"8","Boeta","Fielis",2004-12-01,"M",2019-06-09,1,14.5287671232877,"Adult","Sanctuary","2",31,1,7,1899-12-31 15:09:22,1899-12-31 15:38:21,"No",NA,"No",28.9833333333333,-0.651871033937981,3,-1.67151958478661,6,"winter"
"9","Boeta","Jokie",2004-11-01,"F",2019-06-09,1,14.6109589041096,"Adult","Sanctuary","2",27,2,7,1899-12-31 15:09:22,1899-12-31 15:38:21,"No",NA,"No",28.9833333333333,-0.651871033937981,3,-1.67151958478661,6,"winter"
"10","Boeta","Boeta",2003-12-01,"M",2019-06-10,1,15.5342465753425,"Adult","Sanctuary","2",3,0,10,1899-12-31 15:37:55,1899-12-31 16:06:11,"No",NA,"No",28.2666666666667,-0.675660289788242,3,-1.67151958478661,6,"winter"
"11","Boeta","Fielis",2004-12-01,"M",2019-06-10,1,14.5315068493151,"Adult","Sanctuary","2",30,4,10,1899-12-31 15:37:55,1899-12-31 16:06:11,"No",NA,"No",28.2666666666667,-0.675660289788242,3,-1.67151958478661,6,"winter"
"12","Boeta","Jokie",2004-11-01,"F",2019-06-10,1,14.613698630137,"Adult","Sanctuary","2",10,0,10,1899-12-31 15:37:55,1899-12-31 16:06:11,"No",NA,"No",28.2666666666667,-0.675660289788242,3,-1.67151958478661,6,"winter"
"13","Boeta","Boeta",2003-12-01,"M",2019-06-11,1,15.5369863013699,"Adult","Sanctuary","2",30,11,13,1899-12-31 14:40:57,1899-12-31 15:09:32,"No",NA,"No",28.5833333333333,-0.665148758133475,3,-1.67151958478661,6,"winter"
"14","Boeta","Fielis",2004-12-01,"M",2019-06-11,1,14.5342465753425,"Adult","Sanctuary","2",30,6,13,1899-12-31 14:40:57,1899-12-31 15:09:32,"No",NA,"No",28.5833333333333,-0.665148758133475,3,-1.67151958478661,6,"winter"
"15","Boeta","Jokie",2004-11-01,"F",2019-06-11,1,14.6164383561644,"Adult","Sanctuary","2",18,1,13,1899-12-31 14:40:57,1899-12-31 15:09:32,"No",NA,"No",28.5833333333333,-0.665148758133475,3,-1.67151958478661,6,"winter"
"16","Boeta","Boeta",2003-12-01,"M",2019-06-13,1,15.5424657534247,"Adult","Sanctuary","2",25,13,16,1899-12-31 14:43:24,1899-12-31 15:12:37,"No",NA,"No",29.2166666666667,-0.644125694823942,3,-1.67151958478661,6,"winter"
"17","Boeta","Fielis",2004-12-01,"M",2019-06-13,1,14.5397260273973,"Adult","Sanctuary","2",32,10,16,1899-12-31 14:43:24,1899-12-31 15:12:37,"No",NA,"No",29.2166666666667,-0.644125694823942,3,-1.67151958478661,6,"winter"
"18","Boeta","Jokie",2004-11-01,"F",2019-06-13,1,14.6219178082192,"Adult","Sanctuary","2",19,2,16,1899-12-31 14:43:24,1899-12-31 15:12:37,"No",NA,"No",29.2166666666667,-0.644125694823942,3,-1.67151958478661,6,"winter"
"19","Boeta","Boeta",2003-12-01,"M",2019-06-14,1,15.5452054794521,"Adult","Sanctuary","2",6,2,19,1899-12-31 14:30:42,1899-12-31 15:29:20,"Yes","burnt grass around cages","Yes",58.6333333333333,0.332340272053047,3,-1.67151958478661,6,"winter"
"20","Boeta","Fielis",2004-12-01,"M",2019-06-14,1,14.5424657534247,"Adult","Sanctuary","2",19,1,19,1899-12-31 14:30:42,1899-12-31 15:29:20,"Yes","burnt grass around cages","Yes",58.6333333333333,0.332340272053047,3,-1.67151958478661,6,"winter"
"21","Boeta","Jokie",2004-11-01,"F",2019-06-14,1,14.6246575342466,"Adult","Sanctuary","2",37,1,19,1899-12-31 14:30:42,1899-12-31 15:29:20,"Yes","burnt grass around cages","Yes",58.6333333333333,0.332340272053047,3,-1.67151958478661,6,"winter"
"22","Boeta","Boeta",2003-12-01,"M",2019-06-15,1,15.5479452054795,"Adult","Sanctuary","2",9,7,22,1899-12-31 15:19:49,1899-12-31 15:50:44,"No",NA,"No",30.9166666666667,-0.587695366993091,3,-1.67151958478661,6,"winter"
"23","Boeta","Fielis",2004-12-01,"M",2019-06-15,1,14.5452054794521,"Adult","Sanctuary","2",30,13,22,1899-12-31 15:19:49,1899-12-31 15:50:44,"No",NA,"No",30.9166666666667,-0.587695366993091,3,-1.67151958478661,6,"winter"
